tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
373,373,4,20,20.0,150.0,50.0,0.0,220.0
374,374,4,20,20.0,150.0,50.0,0.0,220.0
375,375,4,20,20.0,150.0,50.0,0.0,220.0
376,376,4,20,20.0,150.0,50.0,0.0,220.0
377,377,4,20,20.0,150.0,50.0,0.0,220.0
378,378,4,20,20.0,150.0,50.0,0.0,220.0
379,379,4,20,20.0,150.0,50.0,0.0,220.0
380,380,4,20,20.0,150.0,50.0,0.0,220.0
381,381,4,20,20.0,150.0,50.0,0.0,220.0
382,382,4,20,20.0,150.0,50.0,0.0,220.0
383,383,4,20,20.0,150.0,50.0,0.0,220.0
384,384,4,20,20.0,150.0,50.0,0.0,220.0
385,385,4,20,20.0,150.0,50.0,0.0,220.0
386,386,4,20,20.0,150.0,50.0,0.0,220.0
387,387,4,20,20.0,150.0,50.0,0.0,220.0
388,388,4,20,20.0,150.0,50.0,0.0,220.0
389,389,4,20,20.0,150.0,50.0,0.0,220.0
390,390,4,20,20.0,150.0,50.0,0.0,220.0
391,391,4,20,20.0,150.0,50.0,0.0,220.0
392,392,4,20,20.0,150.0,50.0,0.0,220.0
393,393,4,20,20.0,150.0,50.0,0.0,220.0
394,394,4,20,20.0,150.0,50.0,0.0,220.0
395,395,4,20,20.0,150.0,50.0,0.0,220.0
396,396,4,20,20.0,150.0,50.0,0.0,220.0
397,397,4,20,20.0,150.0,50.0,0.0,220.0
398,398,4,20,20.0,150.0,50.0,0.0,220.0
399,399,4,20,20.0,150.0,50.0,0.0,220.0
400,400,4,20,20.0,150.0,50.0,0.0,220.0
401,401,4,20,20.0,150.0,50.0,0.0,220.0
402,402,4,20,20.0,150.0,50.0,0.0,220.0
403,403,4,20,20.0,150.0,50.0,0.0,220.0
404,404,4,20,20.0,150.0,50.0,0.0,220.0
405,405,4,20,20.0,150.0,50.0,0.0,220.0
406,406,4,20,20.0,150.0,50.0,0.0,220.0
407,407,4,20,20.0,150.0,50.0,0.0,220.0
408,408,4,20,20.0,150.0,50.0,0.0,220.0
409,409,4,20,20.0,150.0,50.0,0.0,220.0
410,410,4,20,20.0,150.0,50.0,0.0,220.0
411,411,4,20,20.0,150.0,50.0,0.0,220.0
412,412,4,20,20.0,150.0,50.0,0.0,220.0
413,413,4,20,20.0,150.0,50.0,0.0,220.0
414,414,4,20,20.0,150.0,50.0,0.0,220.0
415,415,4,20,20.0,150.0,50.0,0.0,220.0
416,416,4,20,20.0,150.0,50.0,0.0,220.0
417,417,4,20,20.0,150.0,50.0,0.0,220.0
418,418,4,20,20.0,150.0,50.0,0.0,220.0
419,419,4,20,20.0,150.0,50.0,0.0,220.0
420,420,4,20,20.0,150.0,50.0,0.0,220.0
421,421,4,20,20.0,150.0,50.0,0.0,220.0
422,422,4,20,20.0,150.0,50.0,0.0,220.0
423,423,4,20,20.0,150.0,50.0,0.0,220.0
424,424,4,20,20.0,150.0,50.0,0.0,220.0
425,425,4,20,20.0,150.0,50.0,0.0,220.0
426,426,4,20,20.0,150.0,50.0,0.0,220.0
427,427,4,20,20.0,150.0,50.0,0.0,220.0
428,428,4,20,20.0,150.0,50.0,0.0,220.0
429,429,4,20,20.0,150.0,50.0,0.0,220.0
430,430,4,20,20.0,150.0,50.0,0.0,220.0
431,431,4,20,20.0,150.0,50.0,0.0,220.0
432,432,4,20,20.0,150.0,50.0,0.0,220.0
433,433,4,20,20.0,150.0,50.0,0.0,220.0
434,434,4,20,20.0,150.0,50.0,0.0,220.0
435,435,4,20,20.0,150.0,50.0,0.0,220.0
436,436,4,20,20.0,150.0,50.0,0.0,220.0
437,437,4,20,20.0,150.0,50.0,0.0,220.0
438,438,4,20,20.0,150.0,50.0,0.0,220.0
439,439,4,20,20.0,150.0,50.0,0.0,220.0
440,440,4,20,20.0,150.0,50.0,0.0,220.0
441,441,4,20,20.0,150.0,50.0,0.0,220.0
442,442,4,20,20.0,150.0,50.0,0.0,220.0
443,443,4,20,20.0,150.0,50.0,0.0,220.0
444,444,4,20,20.0,150.0,50.0,0.0,220.0
445,445,4,20,20.0,150.0,50.0,0.0,220.0
446,446,4,20,20.0,150.0,50.0,0.0,220.0
447,447,4,20,20.0,150.0,50.0,0.0,220.0
448,448,4,20,20.0,150.0,50.0,0.0,220.0
449,449,4,20,20.0,150.0,50.0,0.0,220.0
450,450,4,20,20.0,150.0,50.0,0.0,220.0
451,451,4,20,20.0,150.0,50.0,0.0,220.0
452,452,4,20,20.0,150.0,50.0,0.0,220.0
453,453,4,20,20.0,150.0,50.0,0.0,220.0
454,454,4,20,20.0,150.0,50.0,0.0,220.0
455,455,4,20,20.0,150.0,50.0,0.0,220.0
456,456,4,20,20.0,150.0,50.0,0.0,220.0
457,457,4,20,20.0,150.0,50.0,0.0,220.0
458,458,4,20,20.0,150.0,50.0,0.0,220.0
459,459,4,20,20.0,150.0,50.0,0.0,220.0
460,460,4,20,20.0,150.0,50.0,0.0,220.0
461,461,4,20,20.0,150.0,50.0,0.0,220.0
462,462,4,20,20.0,150.0,50.0,0.0,220.0
463,463,4,20,20.0,150.0,50.0,0.0,220.0
464,464,4,20,20.0,150.0,50.0,0.0,220.0
465,465,4,20,20.0,150.0,50.0,0.0,220.0
466,466,4,20,20.0,150.0,50.0,0.0,220.0
467,467,4,20,20.0,150.0,50.0,0.0,220.0
468,468,4,20,20.0,150.0,50.0,0.0,220.0
469,469,4,20,20.0,150.0,50.0,0.0,220.0
470,470,4,20,20.0,150.0,50.0,0.0,220.0
471,471,4,20,20.0,150.0,50.0,0.0,220.0
472,472,4,20,20.0,150.0,50.0,0.0,220.0
473,473,4,20,20.0,150.0,50.0,0.0,220.0
474,474,4,20,20.0,150.0,50.0,0.0,220.0
475,475,4,20,20.0,150.0,50.0,0.0,220.0
476,476,4,20,20.0,150.0,50.0,0.0,220.0
477,477,4,20,20.0,150.0,50.0,0.0,220.0
478,478,4,20,20.0,150.0,50.0,0.0,220.0
479,479,4,20,20.0,150.0,50.0,0.0,220.0
480,480,4,20,20.0,150.0,50.0,0.0,220.0
481,481,4,20,20.0,150.0,50.0,0.0,220.0
482,482,4,20,20.0,150.0,50.0,0.0,220.0
483,483,4,20,20.0,150.0,50.0,0.0,220.0
484,484,4,20,20.0,150.0,50.0,0.0,220.0
